,API_UserName,obs_date,OpDiv,observations,curr_date
88.214.26.18,50189120947314147395,2025-04-15,NIH,21,2025-04-15
95.216.161.60,50189120947314147395,2025-04-15,NIH,49,2025-04-15
api.d-n-s.name,50189120947314147395,2025-04-15,NIH,2863,2025-04-15
app.hive.co,50189120947314147395,2025-04-15,NIH,132,2025-04-15
areekaweb.com,50189120947314147395,2025-04-15,NIH,2858,2025-04-15
bimbinlombardia.com,50189120947314147395,2025-04-15,NIH,2418,2025-04-15
bnbuzu49ibz4.top,50189120947314147395,2025-04-15,NIH,1203,2025-04-15
cdn.mcauto-images-production.sendgrid.net,50189120947314147395,2025-04-15,NIH,522,2025-04-15
chat.deepseek.com,50189120947314147395,2025-04-15,NIH,92,2025-04-15
clickcom.click,50189120947314147395,2025-04-15,NIH,2869,2025-04-15
clicko.click,50189120947314147395,2025-04-15,NIH,2868,2025-04-15
condor-customsolutions.de,50189120947314147395,2025-04-15,NIH,24,2025-04-15
cpanel.netbar.org,50189120947314147395,2025-04-15,NIH,2930,2025-04-15
ctrk.klclick2.com,50189120947314147395,2025-04-15,NIH,99,2025-04-15
docs.oasis-open.org,50189120947314147395,2025-04-15,NIH,878,2025-04-15
ehangmun.com,50189120947314147395,2025-04-15,NIH,2903,2025-04-15
entraide-internationale.fr,50189120947314147395,2025-04-15,NIH,2913,2025-04-15
freeweddingpsd.com,50189120947314147395,2025-04-15,NIH,497,2025-04-15
futureswithoutviolence.org,50189120947314147395,2025-04-15,NIH,20,2025-04-15
java.sun.com,50189120947314147395,2025-04-15,NIH,54,2025-04-15
line-api.com,50189120947314147395,2025-04-15,NIH,2907,2025-04-15
links.rasa.io,50189120947314147395,2025-04-15,NIH,27,2025-04-15
lookwestwest.com,50189120947314147395,2025-04-15,NIH,1993,2025-04-15
miltonhouse.nl,50189120947314147395,2025-04-15,NIH,2879,2025-04-15
monitor.clickcease.com,50189120947314147395,2025-04-15,NIH,215,2025-04-15
msm.edu,50189120947314147395,2025-04-15,NIH,26,2025-04-15
ngub8zb38ib.top,50189120947314147395,2025-04-15,NIH,738,2025-04-15
oast.fun,50189120947314147395,2025-04-15,NIH,1462,2025-04-15
oast.pro,50189120947314147395,2025-04-15,NIH,31,2025-04-15
overflowtheme.com,50189120947314147395,2025-04-15,NIH,447,2025-04-15
politobzor.net,50189120947314147395,2025-04-15,NIH,39,2025-04-15
poneytelecom.eu,50189120947314147395,2025-04-15,NIH,91,2025-04-15
rosettahome.top,50189120947314147395,2025-04-15,NIH,922,2025-04-15
runrun.it,50189120947314147395,2025-04-15,NIH,1733,2025-04-15
schemas.xmlsoap.org,50189120947314147395,2025-04-15,NIH,72,2025-04-15
svgarchive.com,50189120947314147395,2025-04-15,NIH,104,2025-04-15
symantke.com,50189120947314147395,2025-04-15,NIH,1386,2025-04-15
tmomail.net,50189120947314147395,2025-04-15,NIH,385,2025-04-15
warfiles.ru,50189120947314147395,2025-04-15,NIH,28,2025-04-15
weacoillo.com,50189120947314147395,2025-04-15,NIH,1965,2025-04-15
whois.afrinic.net,50189120947314147395,2025-04-15,NIH,35,2025-04-15
whois.apnic.net,50189120947314147395,2025-04-15,NIH,174,2025-04-15
whois.arin.net,50189120947314147395,2025-04-15,NIH,152,2025-04-15
www.daum.net,50189120947314147395,2025-04-15,NIH,156,2025-04-15
www.iana.org,50189120947314147395,2025-04-15,NIH,19,2025-04-15
www.icann.org,50189120947314147395,2025-04-15,NIH,188,2025-04-15
www.nate.com,50189120947314147395,2025-04-15,NIH,29,2025-04-15
www.zoominfo.com,50189120947314147395,2025-04-15,NIH,134,2025-04-15
100.24.224.50,50189120947314147395,2025-04-16,NIH,1,2025-04-16
102.129.153.43,50189120947314147395,2025-04-16,NIH,2,2025-04-16
103.168.172.37,50189120947314147395,2025-04-16,NIH,7,2025-04-16
103.224.212.211,50189120947314147395,2025-04-16,NIH,15,2025-04-16
103.224.212.212,50189120947314147395,2025-04-16,NIH,144,2025-04-16
103.224.212.214,50189120947314147395,2025-04-16,NIH,3,2025-04-16
104.18.37.164,50189120947314147395,2025-04-16,NIH,848,2025-04-16
104.18.68.40,50189120947314147395,2025-04-16,NIH,1868,2025-04-16
104.18.69.40,50189120947314147395,2025-04-16,NIH,1522,2025-04-16
104.21.112.1,50189120947314147395,2025-04-16,NIH,17823,2025-04-16
104.21.16.1,50189120947314147395,2025-04-16,NIH,19909,2025-04-16
104.21.3.76,50189120947314147395,2025-04-16,NIH,5,2025-04-16
104.21.32.1,50189120947314147395,2025-04-16,NIH,21881,2025-04-16
104.21.48.1,50189120947314147395,2025-04-16,NIH,18477,2025-04-16
104.21.53.185,50189120947314147395,2025-04-16,NIH,292,2025-04-16
104.21.64.1,50189120947314147395,2025-04-16,NIH,15766,2025-04-16
104.21.79.154,50189120947314147395,2025-04-16,NIH,8,2025-04-16
