Indicator,Observed Today,Frequency (7d),Frequency (30d),Probability: Today,Confidence: Today,Probability: 7-Day,Confidence: 7-Day,Probability: 14-Day,Confidence: 14-Day,Probability: 30-Day,Confidence: 30-Day
143.110.144.97,0,1.0,1.0,8.41%,Today: Possibly active,55.7%,7-Day: Possibly active,64.27%,14-Day: Possibly active,74.42%,30-Day: Possibly active
143.244.47.66,0,0.0,3.0,0.16%,Today: Low confidence,18.34%,7-Day: Low confidence,40.02%,14-Day: Low confidence,79.99%,30-Day: Low confidence
144.76.136.153,0,0.0,1.0,0.04%,Today: Low confidence,6.41%,7-Day: Low confidence,11.58%,14-Day: Low confidence,40.92%,30-Day: Low confidence
146.70.103.228,0,0.0,0.0,0.01%,Today: Low confidence,0.34%,7-Day: Low confidence,1.6%,14-Day: Low confidence,17.59%,30-Day: Low confidence
146.70.117.210,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
146.70.119.24,0,0.0,1.0,2.65%,Today: Low confidence,15.41%,7-Day: Low confidence,60.72%,14-Day: Low confidence,74.12%,30-Day: Low confidence
146.70.128.227,0,0.0,0.0,0.0%,Today: Low confidence,0.02%,7-Day: Low confidence,0.02%,14-Day: Low confidence,4.51%,30-Day: Low confidence
146.70.165.227,0,2.0,5.0,15.36%,Today: Possibly active,98.11%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
146.70.166.131,0,0.0,2.0,0.05%,Today: Low confidence,12.97%,7-Day: Low confidence,26.72%,14-Day: Low confidence,71.29%,30-Day: Low confidence
146.70.166.176,0,1.0,1.0,10.1%,Today: Possibly active,56.59%,7-Day: Possibly active,64.74%,14-Day: Possibly active,74.5%,30-Day: Possibly active
146.70.168.195,0,1.0,1.0,10.1%,Today: Possibly active,56.59%,7-Day: Possibly active,64.74%,14-Day: Possibly active,74.5%,30-Day: Possibly active
146.70.171.112,0,1.0,5.0,8.96%,Today: Possibly active,90.3%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
146.70.171.67,0,0.0,1.0,0.13%,Today: Low confidence,6.82%,7-Day: Low confidence,13.15%,14-Day: Low confidence,46.47%,30-Day: Low confidence
146.70.171.99,0,1.0,3.0,13.16%,Today: Possibly active,83.81%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
146.70.172.227,1,3.0,3.0,50.71%,Today: Possibly active,94.98%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
146.70.200.3,0,0.0,1.0,0.04%,Today: Low confidence,6.41%,7-Day: Low confidence,11.58%,14-Day: Low confidence,40.92%,30-Day: Low confidence
146.70.211.67,0,2.0,7.0,15.65%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
146.70.45.166,1,7.0,30.0,92.32%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
148.113.206.49,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
148.113.8.222,0,4.0,5.0,74.41%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
149.102.229.181,0,2.0,2.0,23.24%,Today: Possibly active,82.19%,7-Day: Highly likely,97.85%,14-Day: Highly likely,100.0%,30-Day: Highly likely
149.102.246.16,0,0.0,0.0,0.01%,Today: Low confidence,0.04%,7-Day: Low confidence,0.06%,14-Day: Low confidence,9.25%,30-Day: Low confidence
149.102.250.14,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
149.40.50.113,0,0.0,0.0,0.01%,Today: Low confidence,0.03%,7-Day: Low confidence,0.04%,14-Day: Low confidence,6.58%,30-Day: Low confidence
149.88.22.130,0,0.0,0.0,0.01%,Today: Low confidence,0.02%,7-Day: Low confidence,0.03%,14-Day: Low confidence,5.47%,30-Day: Low confidence
149.88.27.212,0,3.0,13.0,24.63%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
15.235.34.88,0,0.0,1.0,0.81%,Today: Low confidence,9.61%,7-Day: Low confidence,24.95%,14-Day: Low confidence,48.73%,30-Day: Low confidence
152.32.243.122,0,0.0,1.0,0.2%,Today: Low confidence,7.1%,7-Day: Low confidence,14.45%,14-Day: Low confidence,47.36%,30-Day: Low confidence
154.214.1.0,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.21%,30-Day: Low confidence
154.47.30.137,0,2.0,3.0,22.04%,Today: Possibly active,88.91%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
154.47.30.150,0,2.0,2.0,25.09%,Today: Possibly active,82.81%,7-Day: Highly likely,97.91%,14-Day: Highly likely,100.0%,30-Day: Highly likely
154.64.226.166,0,0.0,1.0,0.3%,Today: Low confidence,12.75%,7-Day: Low confidence,63.96%,14-Day: Low confidence,97.79%,30-Day: Low confidence
155.138.205.35,0,0.0,2.0,0.06%,Today: Low confidence,13.24%,7-Day: Low confidence,28.09%,14-Day: Low confidence,73.17%,30-Day: Low confidence
156.228.112.0,0,0.0,0.0,0.0%,Today: Low confidence,0.04%,7-Day: Low confidence,0.18%,14-Day: Low confidence,1.12%,30-Day: Low confidence
156.228.124.0,0,0.0,1.0,0.06%,Today: Low confidence,7.61%,7-Day: Low confidence,18.43%,14-Day: Low confidence,61.27%,30-Day: Low confidence
156.228.176.0,0,0.0,0.0,0.0%,Today: Low confidence,0.17%,7-Day: Low confidence,0.77%,14-Day: Low confidence,8.27%,30-Day: Low confidence
156.228.76.0,0,0.0,2.0,1.28%,Today: Low confidence,16.19%,7-Day: Low confidence,75.2%,14-Day: Low confidence,100.0%,30-Day: Low confidence
156.228.80.0,0,0.0,0.0,0.01%,Today: Low confidence,0.03%,7-Day: Low confidence,0.05%,14-Day: Low confidence,7.84%,30-Day: Low confidence
157.230.162.215,1,7.0,30.0,92.32%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
157.230.221.156,1,7.0,29.0,92.77%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
160.20.104.81,0,0.0,5.0,2.66%,Today: Low confidence,34.9%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
162.142.125.242,0,0.0,15.0,0.52%,Today: Low confidence,38.26%,7-Day: Low confidence,68.21%,14-Day: Low confidence,84.84%,30-Day: Low confidence
162.142.125.255,0,0.0,0.0,0.02%,Today: Low confidence,0.51%,7-Day: Low confidence,2.49%,14-Day: Low confidence,12.65%,30-Day: Low confidence
162.241.225.237,1,6.0,27.0,78.53%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
162.246.17.143,0,0.0,2.0,0.43%,Today: Low confidence,19.61%,7-Day: Low confidence,79.6%,14-Day: Low confidence,100.0%,30-Day: Low confidence
162.247.72.199,0,3.0,9.0,25.35%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
165.154.135.215,1,1.0,1.0,23.47%,Today: Possibly active,59.45%,7-Day: Possibly active,65.99%,14-Day: Possibly active,75.06%,30-Day: Possibly active
165.154.241.153,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
165.154.54.189,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
165.22.212.94,0,2.0,2.0,19.58%,Today: Possibly active,89.87%,7-Day: Highly likely,97.99%,14-Day: Highly likely,100.0%,30-Day: Highly likely
165.232.138.158,0,1.0,1.0,14.37%,Today: Possibly active,58.01%,7-Day: Possibly active,65.41%,14-Day: Possibly active,74.69%,30-Day: Possibly active
165.232.153.27,0,0.0,0.0,0.01%,Today: Low confidence,0.65%,7-Day: Low confidence,3.04%,14-Day: Low confidence,23.96%,30-Day: Low confidence
165.232.161.174,0,2.0,2.0,11.76%,Today: Possibly active,87.77%,7-Day: Highly likely,97.72%,14-Day: Highly likely,100.0%,30-Day: Highly likely
169.150.203.29,0,1.0,6.0,4.43%,Today: Low confidence,88.89%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
169.150.203.51,0,0.0,1.0,1.59%,Today: Low confidence,14.34%,7-Day: Low confidence,66.63%,14-Day: Low confidence,91.54%,30-Day: Low confidence
169.150.223.208,1,4.0,22.0,33.95%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
169.150.227.205,0,1.0,1.0,13.72%,Today: Possibly active,62.53%,7-Day: Possibly active,81.3%,14-Day: Possibly active,98.83%,30-Day: Possibly active
169.150.227.230,1,2.0,2.0,22.94%,Today: Possibly active,90.26%,7-Day: Highly likely,98.04%,14-Day: Highly likely,100.0%,30-Day: Highly likely
171.25.193.20,1,6.0,29.0,70.02%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
171.25.193.235,0,0.0,12.0,0.27%,Today: Low confidence,35.08%,7-Day: Low confidence,60.7%,14-Day: Low confidence,84.75%,30-Day: Low confidence
171.25.193.78,0,0.0,0.0,0.0%,Today: Low confidence,0.23%,7-Day: Low confidence,1.01%,14-Day: Low confidence,10.61%,30-Day: Low confidence
172.172.143.118,0,0.0,3.0,0.82%,Today: Low confidence,23.84%,7-Day: Low confidence,88.45%,14-Day: Low confidence,100.0%,30-Day: Low confidence
