seen_today,last_seen,freq_7,freq_30,avg_gap,burstiness,exp_today,exp_7,exp_14,exp_30,weibull_today,weibull_7,weibull_14,weibull_30,logistic_today,logistic_7,logistic_14,logistic_30,gbt_today,gbt_7,gbt_14,gbt_30
0,14.0,0.0,1.0,507.0,0.0,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,1.6107924771802118e-08,1.4656078510810744e-06,7.308339882050596e-06,4.2763128880962675e-05,0.08679451750621127,0.08679451750621127,0.3419859427959512,0.8665486048047103,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,14.0,0.0,1.0,507.0,0.0,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,1.6107924771802118e-08,1.4656078510810744e-06,7.308339882050596e-06,4.2763128880962675e-05,0.08679451750621127,0.08679451750621127,0.3419859427959512,0.8665486048047103,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,129.0,0.0,0.0,507.0,0.0,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,0.0,0.0,0.0,0.0,5.0966487624975086e-05,5.0966487624975086e-05,6.053137527489501e-07,5.346138917339171e-06,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
0,56.0,0.0,0.0,5.4,-0.1413064480488942,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,1.1578041858584243e-09,1.0534492200786616e-07,5.253100835433955e-07,3.0737859463281225e-06,0.004693607692951982,0.004693607692951982,0.00394587939762368,0.0507570481657403,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
0,22.0,0.0,2.0,6.818181818181818,-0.136137185996649,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,1.2164697169358973e-05,0.0011062215727193347,0.005504105102853596,0.03177964807623168,0.045257832505014806,0.045257832505014806,0.23356203147674776,0.8672106911977288,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,8.0,0.0,7.0,4.48,0.031095458571546823,0.20811043366321835,0.8047224371643142,0.9618666734529548,0.9990881180344455,0.0020027309307310004,0.16673606712341427,0.5973047234312231,0.995118347183043,0.11721584183885704,0.11721584183885704,0.7924015930477091,0.995689991209456,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,15.0,0.0,2.0,9.166666666666666,0.03364891000825694,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,8.504173167456219e-05,0.007708144771190306,0.03785117428501694,0.2021081466035154,0.061776961682685864,0.061776961682685864,0.4071405281130813,0.9342503605516369,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,20.0,0.0,1.0,13.0,-0.330158912017533,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,1.1557486502944414e-05,0.0010510323405188426,0.005230081425650734,0.030217551010757182,0.05637542942849736,0.05637542942849736,0.24477645075481144,0.8547426972925353,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,21.0,0.0,1.0,8.6,0.0009446702087466363,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,1.367490477011124e-05,0.00124347090384469,0.006185309120919524,0.03565387709235479,0.041651456299794255,0.041651456299794255,0.2216367573632376,0.8267253218270078,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,14.0,0.0,2.0,7.4,-0.12072441235284143,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,9.633475542214498e-05,0.008727309618066448,0.0427688554398753,0.22567698396633062,0.07310897016070492,0.07310897016070492,0.4375375721797644,0.9436867209898022,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
